room_name,address,price,area,nearby_facilities
Phòng trọ trung tâm Quận 1,"45 Nguyễn Huệ, Quận 1, TP.HCM",5000000,25,"Phố đi bộ Nguyễn Huệ, Chợ Bến Thành"
Phòng trọ giá rẻ Quận 5,"120 Hồng Bàng, Quận 5, TP.HCM",3000000,20,"Chợ An Đông, Chùa Bà Thiên Hậu"
Phòng trọ cao cấp Quận 7,"50 Nguyễn Văn Linh, Quận 7, TP.HCM",8000000,30,"Khu Phú Mỹ Hưng, Cầu Ánh Sao"
Phòng trọ gần Hồ Con Rùa,"25 Võ Văn Tần, Quận 3, TP.HCM",4500000,22,"Hồ Con Rùa, Nhà thờ Đức Bà"
Phòng trọ tiện nghi Quận 10,"80 Lý Thường Kiệt, Quận 10, TP.HCM",4000000,24,"Chợ Hồ Thị Kỷ, Công viên Lê Thị Riêng"
Phòng trọ sinh viên Thủ Đức,"Khu Đại học Quốc Gia, Thủ Đức, TP.HCM",2500000,18,"Làng Đại học Quốc Gia, Suối Tiên"
Phòng trọ gần Chợ Bến Thành,"Chợ Bến Thành, Quận 1, TP.HCM",5500000,26,"Chợ Bến Thành, Phố Tây Bùi Viện"
Phòng trọ view Landmark 81,"208 Nguyễn Hữu Cảnh, Bình Thạnh, TP.HCM",7000000,28,"Landmark 81, Vincom Center"
Phòng trọ gần Đại học Quốc Gia,"Làng Đại học, Thủ Đức, TP.HCM",2000000,20,"Đại học Quốc Gia, Suối Tiên"
Phòng trọ giá rẻ Bình Thạnh,"15 Nguyễn Xí, Bình Thạnh, TP.HCM",3500000,22,"Chợ Nguyễn Xí, Bến xe Miền Đông"
Phòng trọ Quận 3 gần Tân Định,"Tân Định, Quận 3, TP.HCM",4800000,24,"Nhà thờ Tân Định, Hồ Con Rùa"
Phòng trọ Quận 4 gần Cảng Nhà Rồng,"Cảng Nhà Rồng, Quận 4, TP.HCM",3800000,23,"Cảng Nhà Rồng, Cầu Mống"
Phòng trọ gần Khu Phú Mỹ Hưng,"Crescent Mall, Quận 7, TP.HCM",8500000,32,"Crescent Mall, Cầu Ánh Sao"
Phòng trọ cao cấp Quận 2,"120 Trần Não, Quận 2, TP.HCM",9000000,35,"Thảo Điền, Landmark 81"
Phòng trọ giá rẻ Quận 12,"50 Nguyễn Ảnh Thủ, Quận 12, TP.HCM",3000000,20,"Chợ Quận 12, Metro Hiệp Phú"
Phòng trọ Quận 9 gần KCN,"KCN Cao Quận 9, TP.HCM",4000000,22,"KCN Cao Quận 9, Vincom Plaza"
Phòng trọ gần Công viên Lê Thị Riêng,"875 Cách Mạng Tháng 8, Quận 10, TP.HCM",4500000,23,"Công viên Lê Thị Riêng, Chợ Hoàng Hoa Thám"
Phòng trọ gần Chợ Hồ Thị Kỷ,"Chợ Hồ Thị Kỷ, Quận 10, TP.HCM",3200000,19,"Chợ Hồ Thị Kỷ, Chợ Lê Hồng Phong"
Phòng trọ Quận 6 gần Chợ Bình Tây,"Chợ Bình Tây, Quận 6, TP.HCM",3300000,21,"Chợ Bình Tây, Đường Hải Thượng Lãn Ông"
Phòng trọ Quận 8 giá hợp lý,"200 Tạ Quang Bửu, Quận 8, TP.HCM",2900000,20,"Chợ Tạ Quang Bửu, Cầu Chà Và"
